pair,pair_code,term_group,term,coef_pct_points,std_err_pct_points,p_value,ci_low_pct_points,ci_high_pct_points,nobs,r_squared,weight_var
2009-2010,0910,education,C(grade92_t)[T.45],-11.141328703254272,33.8545755772731,0.7420848399457844,-77.49507754659886,55.21242014009032,689,0.1630276505269368,earnwt_t
2009-2010,0910,education,C(grade92_t)[T.46],-16.87252782808492,29.143299578210417,0.5626225746131451,-73.99234539203869,40.247289735868854,689,0.1630276505269368,earnwt_t
2009-2010,0910,ethnicity_hispanic,C(ethnic_t)[T.2.0],-1.175650100354393,14.498964936138723,0.9353742708324353,-29.593099188295373,27.24179898758659,689,0.1630276505269368,earnwt_t
2009-2010,0910,ethnicity_hispanic,C(ethnic_t)[T.4.0],11.602248053195808,12.193286551650809,0.34133664107651507,-12.296154441216366,35.50065054760798,689,0.1630276505269368,earnwt_t
2009-2010,0910,ethnicity_hispanic,C(ethnic_t)[T.MISSING],8.142560853989353,8.543945060360809,0.34057932467827623,-8.603263750206729,24.888385458185436,689,0.1630276505269368,earnwt_t
2009-2010,0910,industry,C(ind02_t)[T.3990.0],32.5292527509875,36.95530287604466,0.3787334569840296,-39.90180992382951,104.96031542580452,689,0.1630276505269368,earnwt_t
2009-2010,0910,industry,C(ind02_t)[T.4990.0],15.880042478903125,39.23103238115841,0.6856372601175942,-61.01136806449199,92.77145302229823,689,0.1630276505269368,earnwt_t
2009-2010,0910,industry,C(ind02_t)[T.5370.0],60.708356697093066,38.72255673716129,0.11693304650694478,-15.186459897051884,136.60317329123802,689,0.1630276505269368,earnwt_t
2009-2010,0910,industry,C(ind02_t)[T.570.0],51.529078524802486,39.209578034489354,0.188780186379226,-25.320282271809447,128.37843932141442,689,0.1630276505269368,earnwt_t
2009-2010,0910,industry,C(ind02_t)[T.6070.0],74.56399407477015,42.90631543909448,0.0822403131277399,-9.530838895169902,158.6588270447102,689,0.1630276505269368,earnwt_t
2009-2010,0910,industry,C(ind02_t)[T.6180.0],39.79961601849392,43.76282385755933,0.36311847641224304,-45.97394260409261,125.57317464108047,689,0.1630276505269368,earnwt_t
